# i  x  y  z   fx  fy  fz   energy
23 -10.3585 7.03358 -3.41781 -0.0184457 0.0148145 0.00202776 -0.0206208
24 14.9457 8.4719 -0.10761 0.0202267 0.026058 -0.0251221 -0.0147391
25 0.63795 -2.2751 -5.15188 -0.012316 0.0203929 -0.00774043 -0.0281894
26 -5.51947 4.09269 -10.2574 0.0102235 0.000889706 -0.00211411 -0.018011
27 11.1699 7.6838 10.1591 0.0235046 -0.0103133 0.0128926 -0.0232409
28 8.91753 5.94627 11.3027 7.9363e-05 0.000195162 0.00854752 -0.0137372
29 -3.77601 -9.03052 -13.2004 -0.0186409 0.0171201 -0.00872367 -0.0211994
30 -15.0465 8.08491 -7.48032 -0.00828144 -0.00899798 0.00141475 -0.0105856
31 -8.11487 12.7499 -4.41085 -0.0108954 0.0258895 0.000248602 -0.0170935
32 -5.18278 9.76274 -9.16582 -0.00153015 -0.00560218 0.00335369 -0.0181993
33 1.45451 -12.8088 -5.13061 -0.0135295 -0.00880964 0.00818437 -0.0187111
34 14.2289 -4.29334 -0.55206 0.0136053 0.0142834 0.00734431 -0.0236756
35 -6.58657 4.1417 -12.8108 -0.00310295 0.0249619 -0.0174951 -0.0171642
36 -2.29286 14.8553 9.79296 -0.00381921 0.00913501 0.00332786 -0.00602275
37 10.5101 -16.0035 1.21526 0.00556894 -0.0214483 -0.004825 -0.011009
38 10.2509 -14.5559 -14.2645 0.00510056 -0.00554463 -0.0120894 -0.00571701
39 7.92588 -2.9297 7.3739 0.012344 -0.00886665 0.0116712 -0.0179986
40 4.87108 -13.9451 10.6524 0.00175248 -0.0319613 -0.0131646 -0.0161013
41 -0.55331 11.7847 9.04242 0.0044137 0.011275 0.0110721 -0.0165918
42 10.3566 1.04644 6.53491 -0.00820685 -0.0367407 -0.0193676 -0.0296941
43 2.80403 13.6793 10.7477 -0.0140796 0.0233939 0.00224346 -0.0184775
44 -3.78311 -7.01047 5.21942 0.0159458 0.0270447 0.0138056 -0.0215512
45 -15.5832 -0.44979 12.1201 -0.0205936 -0.0101374 0.00131624 -0.00917054
46 -12.9058 -6.18969 -1.00953 -0.0105116 -0.00102316 -0.0145032 -0.0194817
47 -2.9237 -9.7986 4.80015 -0.00543508 0.00991147 0.0252012 -0.0267517
48 -1.91574 -0.24985 -8.36525 -0.00411141 -0.00186498 0.00282893 -0.0236232
49 13.6402 -12.5207 7.44657 0.00422258 -0.00483224 0.0106172 -0.0188931
50 11.2753 10.7433 -4.69151 -0.00278578 -0.0151757 0.00441266 -0.020006
51 -7.05504 7.41594 -6.72928 0.0113397 -0.0161862 -0.0138554 -0.0253217
52 -7.51809 -9.62132 -5.63614 -0.00910083 0.00106736 -0.0111465 -0.0176341
53 13.2802 7.69462 -12.7679 0.0129385 -0.0129472 -0.00627325 -0.00975147
54 -6.87086 8.22517 13.9057 0.00190196 -0.0259333 0.00192953 -0.0236012
55 13.1856 13.7372 11.4379 -0.0065313 0.0128894 -0.00705477 -0.00761882
56 13.4755 10.53 -12.5216 0.0111089 0.00548243 -0.0158955 -0.0121074
57 -6.41741 -2.46016 9.39742 -0.0101217 -0.0150546 -0.0108841 -0.0177334
58 -5.52122 2.7313 -15.5193 -0.0157201 0.0118889 -0.0236323 -0.0123207
59 -2.44328 3.69371 -9.19595 0.0257303 -0.00587037 -0.0252393 -0.0245199
60 8.3372 -14.3888 -0.3297 -0.000240027 -0.0221479 -0.00434101 -0.0179936
61 -1.98893 6.26691 4.59093 -0.010592 -0.0173857 -0.00322629 -0.0206303
62 6.77876 -9.83491 9.44088 -0.00582521 0.00938566 -0.0163617 -0.0208529
63 -13.2565 14.5139 12.5749 -0.0149373 0.0144655 0.0238643 -0.00865403
64 11.8162 -5.39718 -2.12966 -0.0032947 -0.00844991 -0.00471603 -0.0285573
65 6.11231 -7.68938 5.18463 -0.0209985 -0.0239629 0.00374369 -0.02899
66 -14.0144 -7.27941 14.1377 -0.00401357 0.0117739 0.0054933 -0.00620663
67 -14.5911 4.56519 7.31527 -0.0198347 -0.0273315 -0.0102778 -0.0204266
68 2.629 -14.8123 3.97446 0.0080726 -0.0087107 0.00921881 -0.0194048
69 0.11481 -10.4535 -7.85986 0.022328 0.00383671 0.000509162 -0.0209662
70 8.42387 -1.59145 14.8435 0.000644831 0.00182373 0.013048 -0.0120547
71 2.79122 -4.37484 13.1408 -0.00532564 0.0116839 -0.0124597 -0.0228793
72 -2.01606 3.52311 -12.1954 -0.0142735 -0.00382945 0.0258247 -0.0308438
73 -1.13551 -4.8552 -10.1982 0.0302425 -0.00142869 0.00931869 -0.0316326
74 2.44024 3.20256 -1.89698 0.0296422 -0.000926145 -0.00258923 -0.0229345
75 -10.603 -2.72997 6.86596 0.0338735 -0.0102769 -0.00562115 -0.0238744
76 1.7663 5.00996 -3.95232 0.00276747 -0.00366041 -0.0109402 -0.0231946
77 -5.2035 -15.2623 14.9427 0.000623794 -0.0126233 0.0115348 -0.00619556
78 -5.08219 6.91103 3.64866 0.00235731 -0.00627766 0.00245339 -0.0241841
79 13.4336 -1.94334 -13.9604 0.00635018 -0.00354369 -0.0163781 -0.00778968
80 14.1007 -12.9109 0.39969 0.0230986 -0.00303697 0.015143 -0.0139632
81 1.3375 4.38881 2.60803 0.0196855 -0.00364309 0.0195478 -0.0219864
82 6.3482 -12.7046 0.40956 -0.00296133 -0.0218727 -0.00794794 -0.0247662
83 13.9933 -10.4974 2.33609 0.00598789 0.00273546 -0.00293125 -0.0100209
84 1.70922 -8.26838 -9.51228 -0.00492079 0.0184197 0.0380299 -0.0229047
85 5.20343 7.63405 3.96303 -0.0158818 0.0108446 0.00362467 -0.0175026
86 10.2004 13.0818 13.958 0.00870969 0.0149719 0.0122974 -0.0088626
87 14.824 12.1835 13.1343 0.0134062 0.00234073 0.00726405 -0.00854465
88 2.44285 3.92882 12.2255 -0.00301908 -0.00134032 -0.0132747 -0.0226778
